feature,imp
Z_score_p9N_Tortoise_NetAdds_inv,0
Z_score_p10N_Tortoise_NetAdds_inv,0
Z_score_p11N_Tortoise_NetAdds_inv,0
Z_score_p12N_Tortoise_NetAdds_inv,0
Z_score_p13N_Tortoise_NetAdds_inv,0
Z_score_p7N_Tortoise_NetAdds_inv,0
recent_max_Tortoise_NetAdds_inv,0
Z_score_p5_Tortoise_Closing_inv,0
Z_score_p7_Tortoise_Closing_inv,0
Z_score_p14S_Falcon_ARPEU_inv,0
Z_score_p13S_Falcon_ARPEU_inv,0
Z_score_p12S_Falcon_ARPEU_inv,0
Z_score_p11S_Falcon_ARPEU_inv,0
Z_score_p10S_Falcon_ARPEU_inv,0
Z_score_p9S_Falcon_ARPEU_inv,0
Z_score_p8S_Falcon_ARPEU_inv,0
Z_score_p7S_Falcon_ARPEU_inv,0
Z_score_p6S_Falcon_ARPEU_inv,0
Z_score_p5S_Falcon_ARPEU_inv,0
Z_score_p4S_Falcon_ARPEU_inv,0
Z_score_p3S_Falcon_ARPEU_inv,0
Z_score_p2S_Falcon_ARPEU_inv,0
Z_score_p1S_Falcon_ARPEU_inv,0
recent_ptp_Falcon_ARPEU_inv,0
recent_max_Falcon_ARPEU_inv,0
recent_std_Falcon_ARPEU_inv,0
Z_score_p5N_Falcon_ARPNU_inv,0
Z_score_p6N_Falcon_ARPNU_inv,0
Z_score_p7N_Falcon_ARPNU_inv,0
Z_score_p8N_Falcon_ARPNU_inv,0
Z_score_p9N_Falcon_ARPNU_inv,0
Z_score_p10N_Falcon_ARPNU_inv,0
Z_score_p15S_Falcon_ARPEU_inv,0
Z_score_p11N_Falcon_ARPNU_inv,0
Z_score_p13N_Falcon_ARPNU_inv,0
Z_score_p14N_Falcon_ARPNU_inv,0
Z_score_p15N_Falcon_ARPNU_inv,0
Z_score_p16N_Falcon_ARPNU_inv,0
Z_score_p17N_Falcon_ARPNU_inv,0
recent_mean_Falcon_ARPEU_inv,0
Z_score_p12N_Falcon_ARPNU_inv,0
Z_score_p4N_Falcon_ARPNU_inv,0
Z_score_p16S_Falcon_ARPEU_inv,0
Z_score_p1_Falcon_ARPEU_inv,0
Z_score_p14N_Falcon_ARPEU_inv,0
