feature,imp
Z_score_p1N_Falcon_Migrate_inv,1.23553872
Z_score_p12_Tortoise_Leavers,1.23642731
Z_score_p11S_Falcon_Opening_inv,1.2368269
Z_score_p14,1.243255806
recent_std_Tortoise_Leavers,1.24567413
Z_score_p14S_Tortoise_ARPNU,1.24743915
Z_score_p4S_Falcon_Opening_inv,1.25225401
Z_score_p5S_Falcon_Gross_inv,1.25831854425
Z_score_p11_Tortoise_Gross,1.25963116
Z_score_p5N_Falcon_Migrate,1.259765625
Z_score_p11N_Falcon_Migrate,1.25983822
recent_std_Tortoise_Revenue,1.2607821205
Z_score_p3N_Tortoise_Migrate,1.2610398533333333
Z_score_p3S_Falcon_Revenue,1.26265201
Falcon_Churn_inv,1.263740065
Z_score_p2_Falcon_NetAdds,1.2774366745
Z_score_p0_Falcon_Closing,1.27887726
Z_score_p7S_Falcon_NetAdds,1.27958679
Z_score_p0_Tortoise_Revenue,1.280999378625
Z_score_p4N_Tortoise_Migrate_inv,1.28434396
Z_score_p6_Tortoise_Leavers,1.2867953774999998
Z_score_p5S_Tortoise_NetAdds,1.28800201
Z_score_p9N_Tortoise_Leavers_inv,1.29127121
Z_score_p6_Tortoise_Leavers_inv,1.2949345133333334
Z_score_p9N_Falcon_Gross,1.29555845
Z_score_p0_Tortoise_Opening,1.30168295
Z_score_p2N_Tortoise_ARPEU,1.31003344
Z_score_p4N_Falcon_Migrate_inv,1.31320798
Z_score_p6N_Tortoise_NetAdds,1.3141871699999998
Z_score_p0N_Tortoise_NetAdds_inv,1.32098866
Z_score_p11,1.32512498
Z_score_p5S_Falcon_Opening_inv,1.3273983
Z_score_p7N_Falcon_ARPEU,1.32910347
recent_std_Falcon_Closing,1.329587935
Z_score_p4N_Tortoise_ARPNU,1.32980275
Z_score_p7_Tortoise_Migrate,1.3308773
Z_score_p1N_Tortoise_Opening,1.3337721517499999
Z_score_p5N_Tortoise_ARPNU,1.33445191
Z_score_p11N_Falcon_NetAdds,1.34005737
Z_score_p0N_Falcon_NetAdds,1.34422958
Tortoise_Gross_inv,1.34809336
Z_score_p8_Tortoise_Leavers,1.34920692
recent_ptp_Tortoise_ARPEU,1.3509078
Z_score_p4_Tortoise_Gross,1.35521507
Z_score_p6_Tortoise_ARPNU,1.355757544
Z_score_p0N_Falcon_ARPEU_inv,1.355944579
Z_score_p1_Tortoise_Leavers,1.357109348
recent_std_Tortoise_NetAdds,1.35840607
Z_score_p7S_Tortoise_Opening,1.35872221
Z_score_p0_Tortoise_Closing,1.35913086
